===============================================================================
Id,MA,len,datetime,open,high,low,close,volume,openinterest,signal,StrategyClass,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
66,MA,66,2022-05-24 00:00:00,8390.0,8407.0,8318.0,8326.0,515289.0,,0.4302718612415309,StrategyClass,66,738299.0,Broker,66,208597.59999999992,208597.69999999992,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,MA,67,2022-05-25 00:00:00,8330.0,8364.0,8152.0,8232.0,766354.0,,0.4379804935563225,StrategyClass,67,738300.0,Broker,67,236797.59999999992,236797.69999999992,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,MA,68,2022-05-26 00:00:00,8232.0,8272.0,8150.0,8225.0,758908.0,,0.4300288169008267,StrategyClass,68,738301.0,Broker,68,238897.59999999992,238897.69999999992,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,MA,69,2022-05-27 00:00:00,8203.0,8275.0,8130.0,8175.0,818377.0,,0.42011238941409673,StrategyClass,69,738302.0,Broker,69,253897.59999999992,253897.69999999992,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,MA,70,2022-05-30 00:00:00,8160.0,8400.0,8151.0,8389.0,897241.0,,0.47294256913124855,StrategyClass,70,738305.0,Broker,70,189697.59999999992,189697.69999999992,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,MA,71,2022-05-31 00:00:00,8389.0,8447.0,8355.0,8421.0,522683.0,,0.4783391382412273,StrategyClass,71,738306.0,Broker,71,189697.59999999992,189697.59999999992,BuySell,71,8229.675,,Trades - Net Profit/Loss,71,66599.8,
72,MA,72,2022-06-01 00:00:00,8417.0,8444.0,8315.0,8415.0,589361.0,,0.4774681969236914,StrategyClass,72,738307.0,Broker,72,190297.3999999999,190297.4999999999,BuySell,72,,8570.66,Trades - Net Profit/Loss,72,,
73,MA,73,2022-06-02 00:00:00,8420.0,8523.0,8338.0,8501.0,657579.0,,0.4887563155501386,StrategyClass,73,738308.0,Broker,73,164497.3999999999,164497.4999999999,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,MA,74,2022-06-06 00:00:00,8562.0,8772.0,8500.0,8728.0,685786.0,,0.4870389993126616,StrategyClass,74,738312.0,Broker,74,146197.3999999999,146197.3999999999,BuySell,74,8372.5,,Trades - Net Profit/Loss,74,,-43500.2
75,MA,75,2022-06-07 00:00:00,8721.0,8749.0,8670.0,8730.0,552816.0,,0.4949641550326792,StrategyClass,75,738313.0,Broker,75,143497.1999999999,143497.2999999999,BuySell,75,,8880.234999999999,Trades - Net Profit/Loss,75,,
76,MA,76,2022-06-08 00:00:00,8714.0,8856.0,8683.0,8792.0,647809.0,,0.5027809304237533,StrategyClass,76,738314.0,Broker,76,148297.1999999999,148297.1999999999,BuySell,76,8552.755,,Trades - Net Profit/Loss,76,2099.8,
77,MA,77,2022-06-09 00:00:00,8800.0,8829.0,8590.0,8616.0,788225.0,,0.49763825285672025,StrategyClass,77,738315.0,Broker,77,148297.1999999999,148297.1999999999,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,MA,78,2022-06-10 00:00:00,8596.0,8652.0,8555.0,8573.0,552654.0,,0.4926488925624617,StrategyClass,78,738316.0,Broker,78,148297.1999999999,148297.1999999999,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,MA,79,2022-06-13 00:00:00,8595.0,8618.0,8355.0,8378.0,773612.0,,0.4740342252958852,StrategyClass,79,738319.0,Broker,79,213396.99999999988,213397.0999999999,BuySell,79,,8747.269999999999,Trades - Net Profit/Loss,79,,
80,MA,80,2022-06-14 00:00:00,8368.0,8409.0,8220.0,8234.0,668759.0,,0.42932730902101485,StrategyClass,80,738320.0,Broker,80,256596.99999999988,256597.0999999999,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,MA,81,2022-06-15 00:00:00,8240.0,8266.0,8162.0,8173.0,666310.0,,0.4270273268852134,StrategyClass,81,738321.0,Broker,81,274896.9999999999,274897.09999999986,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,MA,82,2022-06-16 00:00:00,8162.0,8258.0,8006.0,8007.0,788801.0,,0.3650103902774004,StrategyClass,82,738322.0,Broker,82,324696.9999999999,324697.09999999986,BuySell,82,,,Trades - Net Profit/Loss,82,,
